product_id,product_name,price,cogs,category_id
1,Acer Laptop,1018.58,530.45,1
2,Belkin Gaming Mouse Max,2587.65,1341.01,1
3,Razer Graphics Card Ultra,1772.05,342.84,1
4,Sonos Over-Ear Headphones,1452.58,285.94,1
5,Belkin Smart Plug Mini,644.02,105.15,1
6,Anker 1TB External SSD,643.98,322.42,1
7,Sonos Gaming Mouse SE,398.8,177.32,1
8,Apple 5G Smartphone Max,2190.96,1093.44,1
9,Lenovo Mechanical Keyboard Max,1457.94,375.65,1
10,Netgear HD Webcam Pro,1709.69,335.74,1
11,Bose 20000mAh Power Bank 3rd Gen,243.48,110.02,1
12,Samsung Graphics Card SE,2721.53,1137.91,1
13,Microsoft Smartwatch Ultra,2070.93,614.22,1
14,Acer Soundbar 3rd Gen,748.83,328.49,1
15,Corsair Smartwatch,694.06,333.59,1
16,Netgear 27-inch 4K Monitor Pro,697,402.63,1
17,Bose Wireless Charger 2nd Gen,899.25,338.75,1
18,Google Bluetooth Speaker 3rd Gen,1298.49,425.43,1
19,Razer Mechanical Keyboard,1121.09,531.42,1
20,Asus USB-C Docking Station Max,877.84,366.12,1
21,Belkin Bluetooth Speaker SE,1481.54,503.32,1
22,Acer 1TB External SSD Ultra,609.78,158.43,1
23,Lenovo Noise Cancelling Headphones,879.34,232.61,1
24,Samsung Smart Doorbell 3rd Gen,1004.36,352.11,1
25,Sony Smart Speaker Mini,1165.72,685.66,1
26,Lenovo Smart Speaker,1921.56,767.89,1
27,Acer Mirrorless Camera Max,726.61,205.22,1
28,Belkin Graphics Card Ultra,1277.56,535.92,1
29,TP-Link Mini Drone Lite,1439.04,861.86,1
30,Microsoft 20000mAh Power Bank Plus,358.22,232.36,1
31,JBL Smart Plug SE,1472.03,287.72,1
32,Samsung Portable SSD Pro,672.62,152.3,1
33,Logitech Smart Doorbell,421.17,152.08,1
34,Sony Wireless Charger Lite,2576.39,1154.08,1
35,Garmin Smart Plug 2nd Gen,2688.65,1708.74,1
36,Apple USB-C Hub Pro,1992.63,978.09,1
37,Canon 5G Smartphone 2nd Gen,899.87,480.8,1
38,Lenovo Laptop 2nd Gen,512.7,188.36,1
39,Garmin Wireless Earbuds 2nd Gen,1650.03,1049.33,1
40,Netgear Bluetooth Speaker Ultra,1136.17,688.88,1
41,Acer 27-inch 4K Monitor,571.32,230.72,1
42,Anker Tablet 3rd Gen,1240.21,658.87,1
43,Canon 5G Smartphone Ultra,310.32,189.06,1
44,Asus HD Webcam SE,2369.39,378.48,1
45,Google Gaming Headset 2nd Gen,825.27,222.6,1
46,Belkin Gaming Headset Mini,1597.63,996.08,1
47,Sony Graphics Card SE,911.63,508.7,1
48,Netgear Fitness Tracker Max,1289.14,276.13,1
49,Fitbit Fitness Tracker Max,1342.93,379.42,1
50,Asus Action Camera Plus,699.69,429.93,1
51,Netgear Graphics Card Plus,2718.95,1377.08,1
52,Microsoft USB-C Hub,1892.01,637.06,1
53,GoPro Mirrorless Camera Pro,2521.54,690.78,1
